"#","timestamp","dataset","subset","subsubset","run","random","method","model","metric:accuracy","metric:f1_score","metric:runtime","metric:clstime","metric:totaltime","metric:candidates","metric:movelets","error","metric:accuracyTop5","name","key"
120,1670965491.62821,"Animals","specific","specific",1,1,"DEEPEST","-",57.619047619,0.5301428349,4851774.372,4851774.372,4851774.372,0,0,"False",100,"DEEPEST-specific--","Animals-specific-1"
121,1660036948,"Animals","specific","specific",1,1,"Dodge","NN",57.1428596973,0.5641024709,672,8739.965,9411.965,0,0,"False",100,"Dodge-specific-NN","Animals-specific-1"
122,1660036948,"Animals","specific","specific",1,1,"Dodge","RF",76.1904761905,0.7533333333,672,1877.756,2549.756,0,0,"False",100,"Dodge-specific-RF","Animals-specific-1"
125,1660034700,"Animals","specific","specific",1,1,"HL","NN",76.1904776096,0.7619047165,114634,9195.726,123829.726,193719,4427,"False",100,"HL-specific-NN","Animals-specific-1"
126,1660034700,"Animals","specific","specific",1,1,"HL","RF",76.1904761905,0.6833333333,114634,1976.425,116610.425,193719,4427,"False",100,"HL-specific-RF","Animals-specific-1"
131,1660036792,"Animals","specific","specific",1,1,"HpL","NN",66.6666686535,0.6666666269,49288,8968.283,58256.283,18784,4351,"False",100,"HpL-specific-NN","Animals-specific-1"
132,1660036792,"Animals","specific","specific",1,1,"HpL","RF",76.1904761905,0.6833333333,49288,1959.49,51247.49,18784,4351,"False",100,"HpL-specific-RF","Animals-specific-1"
133,1661810043,"Animals","specific","specific",1,1,"HpTR50L","NN",80.9523820877,0.8095237613,70065,9028.018,79093.018,26328,5980,"False",100,"HpTR50L-specific-NN","Animals-specific-1"
134,1661810043,"Animals","specific","specific",1,1,"HpTR50L","RF",90.4761904762,0.89,70065,2314.204,72379.204,26328,5980,"False",100,"HpTR50L-specific-RF","Animals-specific-1"
135,1661810342,"Animals","specific","specific",1,1,"HpTR75L","NN",71.4285731316,0.7142856121,65086,8852.555,73938.555,23722,5582,"False",100,"HpTR75L-specific-NN","Animals-specific-1"
136,1661810342,"Animals","specific","specific",1,1,"HpTR75L","RF",80.9523809524,0.7933333333,65086,2045.161,67131.161,23722,5582,"False",100,"HpTR75L-specific-RF","Animals-specific-1"
127,1661809956,"Animals","specific","specific",1,1,"HTR50L","NN",90.4761910439,0.9047618508,245573,9052.691,254625.691,204180,5084,"False",100,"HTR50L-specific-NN","Animals-specific-1"
128,1661809956,"Animals","specific","specific",1,1,"HTR50L","RF",80.9523809524,0.8,245573,2466.665,248039.665,204180,5084,"False",100,"HTR50L-specific-RF","Animals-specific-1"
